title,href,subhead,premium,image,byline,type
"During heatwaves, 'significant deterioration in physiological and cognitive functions occurs'",https://www.lemonde.fr/en/environment/article/2026/08/09/during-heatwaves-significant-impairments-in-physiological-and-cognitive-functions-occur_6756319_114.html,"In an interview, explorer Christian Clot explains how our bodies and brains cope with episodes of extreme heat.",Subscribers only,https://img.lemde.fr/2026/07/22/29/0/4252/2834/400/266/75/0/649b084_upload-1-et0ha4bwbj5s-hd-rvb-web-se-rie-e-te-ep-1-chaleur-humaine.jpg,,
"Netanyahu rejects US plan for Gaza accepted by Hamas, in new break from Trump",https://www.lemonde.fr/en/international/article/2026/08/09/netanyahu-rejects-us-plan-for-gaza-accepted-by-hamas-in-new-break-from-trump_6756316_4.html,,,https://img.lemde.fr/2026/07/29/0/0/2196/1464/398/265/75/0/f0a44b0_ftp-1-3dccs1lmqv9r-2026-07-29t091437z-328558998-rc23fma0gsga-rtrmadp-3-israel-election-explainer.JPG,,
Gaza mourns during 'largest collective funeral in Palestinian history',https://www.lemonde.fr/en/international/article/2026/08/09/gaza-mourns-during-largest-collective-funeral-in-palestinian-history_6756315_4.html,,Subscribers only,https://img.lemde.fr/2026/08/04/0/0/5472/3648/398/265/75/0/731325a_ftp-1-h9tekk2pnay0-5771273-01-06.jpg,,
What to know about the August 12 total solar eclipse,https://www.lemonde.fr/en/les-decodeurs/article/2026/08/09/solar-eclipse-what-to-know-about-the-august-12-total-eclipse_6756314_8.html,"A total solar eclipse will be visible in Spain in the late afternoon on Wednesday, August 12. The eclipse will be partial in many parts of Europe. Here's what you need to know.",Subscribers only,https://img.lemde.fr/2026/07/14/0/0/4284/2856/398/265/75/0/a5bf93a_upload-1-ht1id1oa9ob4-000-36hu7q6.jpg,,
'Zidane defies a fatalistic view of France's national history and reminds us that no collective destiny is predetermined',https://www.lemonde.fr/en/opinion/article/2026/08/09/zidane-defies-a-fatalistic-view-of-france-s-national-history-and-reminds-us-that-no-collective-destiny-is-predetermined_6756318_23.html,"The new head coach of the French national football team embodies a counter-narrative to the dominant French story, serving as an antidote to far-right ideas, and also challenges some of the assumptions held by parts of the left, writes former ambassador Karim Amellal.",Subscribers only,https://img.lemde.fr/2026/07/28/20/0/2045/1363/398/265/75/0/36eb4fb_ftp-1-n6d0slpmorbs-2026-07-28t114808z-955923642-up1em7s0ws7l3-rtrmadp-3-soccer-france.JPG,,
Demi Vollering wins Tour de France Femmes,https://www.lemonde.fr/en/sports/article/2026/08/09/demi-vollering-wins-tour-de-france-femmes_6756322_9.html,"The Dutch 2023 laureate won her second Tour de France, with Kasia Niewiadoma of Poland and Elisa Long Borghini of Italy completing the podium.",,https://img.lemde.fr/2026/08/09/0/0/3504/2336/398/265/75/0/da4089c_ftp-1-2krlfzzgeum2-5ae8a34888694f29b630383f86efdfce-0-ebd8ac86807847389f8ecc6196a6c85b.jpg,,
"The Golden Owl's epilogue: 'I can say it now, I buried the Owl with my brother'",https://www.lemonde.fr/en/summer-reads/visuel/2026/08/09/the-golden-owl-s-epilogue-i-can-say-it-now-i-buried-the-owl-with-my-brother_6756321_183.html,'The Golden Owl's last secrets' (6/6). Where is the bronze owl that Max Valentin buried in 1993? What happened to the original solutions filed with a bailiff? New information sheds some light on the mystery.,Subscribers only,https://img.lemde.fr/2026/07/06/0/0/8503/5669/664/442/75/0/7c6bffe_upload-1-pmvbjpjbrp7e-chouette-06.jpg,Morgane Tual,Visual Story
'Biden doomed himself to humiliation by embracing Trump's Middle East legacy',https://www.lemonde.fr/en/international/article/2026/08/09/biden-doomed-himself-to-humiliation-by-embracing-trump-s-middle-east-legacy_6756311_4.html,,Subscribers only,https://img.lemde.fr/2026/07/21/0/0/5640/3760/198/132/95/0/945a785_ftp-1-qb4duesjdwl3-25576ebcef2b407288675e1c4a10b5c3-1-3a38a455a7684dbd9d7f72186b36b666.jpg,,
Shortages of solar eclipse viewing glasses expected  in France,https://www.lemonde.fr/en/economy/article/2026/08/09/shortages-of-solar-eclipse-viewing-glasses-expected-in-france_6756309_19.html,,Subscribers only,https://img.lemde.fr/2026/08/05/0/0/5875/3916/198/132/95/0/6a3b6ee_ftp-1-xp33oibii5o3-5778529-01-06.jpg,,
Nationwide review of child abuse cases highlights shortcomings of French judiciary and police,https://www.lemonde.fr/en/france/article/2026/08/09/nationwide-review-of-child-abuse-cases-highlights-shortcomings-of-french-judiciary-and-police_6756312_7.html,,Subscribers only,https://img.lemde.fr/2026/08/08/107/0/4500/3000/198/132/95/0/16ccac8_upload-1-2mie1vwepdjt-mfache-07062026-le-monde-marche-blanche-affaire-lyhanna-gers-france-059.jpg,,
"Iran: 'The surge in executions exposes the regime's extreme fragility, not renewed confidence'",https://www.lemonde.fr/en/opinion/article/2026/08/08/iran-the-surge-in-executions-exposes-the-regime-s-extreme-fragility-not-renewed-confidence_6756302_23.html,,Subscribers only,https://img.lemde.fr/2026/03/05/0/0/1500/1000/198/132/95/0/32e42c9_upload-1-6kdnma8rsdxb-frame-1463.jpg,,
Paul and Denise Poiret: The rise and fall of a trailblazing couple,https://www.lemonde.fr/en/summer-reads/article/2026/08/09/paul-and-denise-poiret-the-rise-and-fall-of-a-trailblazing-couple_6756304_183.html,,Subscribers only,,,
"Javier Tebas, president of La Liga: 'The Infantino era is over'",https://www.lemonde.fr/en/sports/article/2026/08/09/javier-tebas-president-of-la-liga-the-infantino-era-is-over_6756308_9.html,,Subscribers only,,,
Syria says deal with Moscow reached on fate of Russian bases,https://www.lemonde.fr/en/international/article/2026/08/09/syria-says-deal-with-moscow-reached-on-fate-of-russian-bases_6756317_4.html,,,,,
Helmets and reflective gear become mandatory for Paris e-scooter users,https://www.lemonde.fr/en/france/article/2026/08/08/helmets-and-reflective-gear-become-mandatory-for-e-scooter-users-in-paris_6756295_7.html,,,,,
The lessons from the blaze that defied French firefighters for 18 days,https://www.lemonde.fr/en/environment/article/2026/08/08/the-lessons-from-the-blaze-that-defied-french-firefighters-for-18-days_6756294_114.html,,Subscribers only,,,
Most French presidential candidates are vacationing. Not Gabriel Attal,https://www.lemonde.fr/en/politics/article/2026/08/08/most-french-presidential-candidates-are-vacationing-not-gabriel-attal_6756292_5.html,,Subscribers only,,,
Drought: 'Our society is built on the myth of abundant water',https://www.lemonde.fr/en/environment/article/2026/08/09/drought-our-society-is-built-on-the-myth-of-abundant-water_6756313_114.html,,Subscribers only,,,
Sylvia Plath's lost novel,https://www.lemonde.fr/en/books/article/2026/08/09/sylvia-plath-s-lost-novel_6756305_33.html,,Subscribers only,,,
The French far-right fighters of the Lebanese Civil War,https://www.lemonde.fr/en/m-le-mag/article/2026/08/09/the-french-far-right-fighters-of-the-lebanese-civil-war_6756306_117.html,"Despite their lack of military experience, in 1976, several young French far-right militants, eager for adventure, took up arms in Lebanon alongside Christian Phalangists during the civil war. The story has become a legend in their political camp.",Subscribers only,https://img.lemde.fr/2026/07/07/64/0/1500/1000/664/442/75/0/b132c8d_ftp-1-ua1xqvygmcvj-434956-3488531.jpg,Abel Mestre and  Antoine Albertini,Investigation
Jeffrey Epstein and Saint-Tropez: The sex predator's other hunting ground in France,https://www.lemonde.fr/en/france/article/2026/08/08/jeffrey-epstein-and-saint-tropez-the-american-financier-s-other-hunting-ground-in-france_6756283_7.html,"The businessman spent nearly every summer in the seasonal South of France hotspot for the fashion and luxury industries. Just as in Paris, where he owned an apartment, this town – frequented by celebrities, billionaires and aspiring models – served as a base for his sexual crimes.",Subscribers only,https://img.lemde.fr/2026/08/06/0/0/6000/4000/664/442/75/0/cc8be9e_upload-1-kbka0spcrqme-epstein-10.jpg,,Investigation
"In sex, is letting go still possible?",https://www.lemonde.fr/en/intimacy/article/2026/08/04/is-letting-go-still-possible-when-it-comes-to-sex_6756134_310.html,"While younger generations seem increasingly hesitant to step outside their comfort zones in bed, losing control is just as challenging for older people, writes Maïa Mazaurette, Le Monde's sex columnist.",Subscribers only,https://img.lemde.fr/2026/07/31/469/0/1252/834/664/442/75/0/73fee68_upload-1-fyfwgzt5f1b0-illustration-sans-titre.jpeg,Maïa Mazaurette,Column
"SpaceX, a dream put to the test of the numbers",https://www.lemonde.fr/en/opinion/article/2026/08/08/spacex-a-dream-put-to-the-test-of-the-numbers_6756289_23.html,,,,Le Monde,Editorial
Blaming environmentalism is convenient for those who failed to see the climate crisis coming,https://www.lemonde.fr/en/opinion/article/2026/08/05/blaming-environmentalism-is-convenient-for-those-who-failed-to-see-the-climate-crisis-coming_6756180_23.html,,,,Le Monde,Editorial
'Morocco has long been aware of its geostrategic importance to Europe regarding migration',https://www.lemonde.fr/en/opinion/article/2026/08/04/catherine-wihtol-de-wenden-political-scientist-morocco-has-long-been-aware-of-its-geostrategic-importance-to-europe-regarding-migration_6756142_23.html,,Subscribe,,Catherine Wihtol de Wenden,Op-Ed
